catalog_type,item_id,asset_variant,image_url
bugs,1f0229ce0418b836,tank,https://dodo.ac/np/images/8/8d/Tiger_Butterfly_NH_Furniture_Icon.png
bugs,26f2989541359b0b,tank,https://dodo.ac/np/images/7/7c/Tiger_Beetle_NH_Furniture_Icon.png
bugs,2ca3ef2bd41a9197,tank,https://dodo.ac/np/images/b/b2/Honeybee_NH_Furniture_Icon.png
bugs,2efdc2314f127e05,tank,https://dodo.ac/np/images/7/7f/Walking_Leaf_NH_Furniture_Icon.png
bugs,2f18dc84543cafd0,tank,https://dodo.ac/np/images/9/94/Saw_Stag_NH_Furniture_Icon.png
bugs,3083daa6f882e652,tank,https://dodo.ac/np/images/8/83/Common_Butterfly_NH_Furniture_Icon.png
bugs,36e6214412e79ff5,tank,https://dodo.ac/np/images/2/23/Citrus_Long-Horned_Beetle_NH_Furniture_Icon.png
bugs,383a3afd649c2920,tank,https://dodo.ac/np/images/b/b0/Drone_Beetle_NH_Furniture_Icon.png
bugs,3fd0681885a0d5cd,tank,https://dodo.ac/np/images/f/f0/Fly_NH_Furniture_Icon.png
bugs,415c78c480723362,tank,https://dodo.ac/np/images/d/dc/Damselfly_NH_Furniture_Icon.png
bugs,4d9c35c4fdde2f6f,tank,https://dodo.ac/np/images/2/2c/Bell_Cricket_NH_Furniture_Icon.png
bugs,50a6bdc999eae572,tank,https://dodo.ac/np/images/2/2a/Miyama_Stag_NH_Furniture_Icon.png
bugs,5853f2491b6788ad,tank,https://dodo.ac/np/images/7/70/Walker_Cicada_NH_Furniture_Icon.png
bugs,5b2ed367c7226fc5,tank,https://dodo.ac/np/images/5/5d/Wharf_Roach_NH_Furniture_Icon.png
bugs,5bcdec38985c23bc,tank,https://dodo.ac/np/images/6/6f/Rosalia_Batesi_Beetle_NH_Furniture_Icon.png
bugs,5ec54dbb7185b235,tank,https://dodo.ac/np/images/d/d0/Robust_Cicada_NH_Furniture_Icon.png
bugs,5fbd545fc6f42976,tank,https://dodo.ac/np/images/f/f6/Agrias_Butterfly_NH_Furniture_Icon.png
bugs,60a1e84c82732db7,tank,https://dodo.ac/np/images/1/15/Rajah_Brooke%27s_Birdwing_NH_Furniture_Icon.png
bugs,66237a8651f58fd0,tank,https://dodo.ac/np/images/5/5b/Bagworm_NH_Furniture_Icon.png
bugs,6658f33dea2adeb9,tank,https://dodo.ac/np/images/7/77/Centipede_NH_Furniture_Icon.png
bugs,693e7d6b32ac475d,tank,https://dodo.ac/np/images/5/55/Giant_Water_Bug_NH_Furniture_Icon.png
bugs,69bec4fd139bb07f,tank,https://dodo.ac/np/images/7/74/Snail_NH_Furniture_Icon.png
bugs,6ccd570b5f9e5185,tank,https://dodo.ac/np/images/4/4e/Atlas_Moth_NH_Furniture_Icon.png
bugs,6fea3c2ad27893cb,tank,https://dodo.ac/np/images/9/9b/Giant_Cicada_NH_Furniture_Icon.png
bugs,746265817bb98a2b,tank,https://dodo.ac/np/images/f/f8/Jewel_Beetle_NH_Furniture_Icon.png
bugs,768abb57afa9e5fb,tank,https://dodo.ac/np/images/d/d1/Common_Bluebottle_NH_Furniture_Icon.png
bugs,780386955e106556,tank,https://dodo.ac/np/images/2/2b/Ant_NH_Furniture_Icon.png
bugs,7824712ec14d2f43,tank,https://dodo.ac/np/images/5/55/Rice_Grasshopper_NH_Furniture_Icon.png
bugs,7eb74471a9ab1b68,tank,https://dodo.ac/np/images/6/68/Cyclommatus_Stag_NH_Furniture_Icon.png
bugs,81ed0f5c3b19ea67,tank,https://dodo.ac/np/images/c/c9/Emperor_Butterfly_NH_Furniture_Icon.png
bugs,8409fc7cb3c8df4c,tank,https://dodo.ac/np/images/f/fb/Violin_Beetle_NH_Furniture_Icon.png
bugs,851c066e545daeb5,tank,https://dodo.ac/np/images/e/e0/Paper_Kite_Butterfly_NH_Furniture_Icon.png
bugs,8736d829fcfad715,tank,https://dodo.ac/np/images/8/84/Scarab_Beetle_NH_Furniture_Icon.png
bugs,87a2931596fb7fa2,tank,https://dodo.ac/np/images/b/b5/Orchid_Mantis_NH_Furniture_Icon.png
bugs,8975ae6fc445c66f,tank,https://dodo.ac/np/images/7/74/Pondskater_NH_Furniture_Icon.png
bugs,8b0a990262aff896,tank,https://dodo.ac/np/images/f/fd/Hermit_Crab_NH_Furniture_Icon.png
bugs,8c6370c39fcb8265,tank,https://dodo.ac/np/images/5/5a/Stinkbug_NH_Furniture_Icon.png
bugs,8ffe519dc8f8cae6,tank,https://dodo.ac/np/images/f/fe/Mole_Cricket_NH_Furniture_Icon.png
bugs,90f06362052760a2,tank,https://dodo.ac/np/images/f/fa/Wasp_NH_Furniture_Icon.png
bugs,90f9339eb601c8a4,tank,https://dodo.ac/np/images/7/7e/Migratory_Locust_NH_Furniture_Icon.png
bugs,95f339992496f2b1,tank,https://dodo.ac/np/images/d/d3/Pill_Bug_NH_Furniture_Icon.png
bugs,9656d45af80a076d,tank,https://dodo.ac/np/images/8/89/Man-Faced_Stink_Bug_NH_Furniture_Icon.png
bugs,98ad21a8c4e7eea3,tank,https://dodo.ac/np/images/e/e0/Scorpion_NH_Furniture_Icon.png
bugs,9f69afa0450de190,tank,https://dodo.ac/np/images/d/da/Moth_NH_Furniture_Icon.png
bugs,a202d6d5caaf9904,tank,https://dodo.ac/np/images/6/67/Madagascan_Sunset_Moth_NH_Furniture_Icon.png
bugs,a25eced10d00b88e,tank,https://dodo.ac/np/images/5/5a/Horned_Hercules_NH_Furniture_Icon.png
bugs,a8bdf82fa274f59f,tank,https://dodo.ac/np/images/5/58/Tarantula_NH_Furniture_Icon.png
bugs,adb3667f631ac7ee,tank,https://dodo.ac/np/images/2/29/Great_Purple_Emperor_NH_Furniture_Icon.png
bugs,af320fa273b4f82a,tank,https://dodo.ac/np/images/d/db/Golden_Stag_NH_Furniture_Icon.png
bugs,b112633685212a7b,tank,https://dodo.ac/np/images/e/e5/Walking_Stick_NH_Furniture_Icon.png
bugs,b3623e0c52291bc5,tank,https://dodo.ac/np/images/5/55/Giant_Stag_NH_Furniture_Icon.png
bugs,b5693d720180ab0b,tank,https://dodo.ac/np/images/2/29/Banded_Dragonfly_NH_Furniture_Icon.png
bugs,bb3d6bb5c69d0708,tank,https://dodo.ac/np/images/6/64/Blue_Weevil_Beetle_NH_Furniture_Icon.png
bugs,ca78734f4b85800b,tank,https://dodo.ac/np/images/7/72/Earth-Boring_Dung_Beetle_NH_Furniture_Icon.png
bugs,cc7bf4b4dda11936,tank,https://dodo.ac/np/images/2/22/Peacock_Butterfly_NH_Furniture_Icon.png
bugs,cd5be314a3949e61,tank,https://dodo.ac/np/images/4/41/Horned_Atlas_NH_Furniture_Icon.png
bugs,ce4e3de73b1dd0dc,tank,https://dodo.ac/np/images/e/e2/Cricket_NH_Furniture_Icon.png
bugs,d2a3a6d724464160,tank,https://dodo.ac/np/images/e/e0/Red_Dragonfly_NH_Furniture_Icon.png
bugs,d31b63165b7dd694,tank,https://dodo.ac/np/images/4/4d/Queen_Alexandra%27s_Birdwing_NH_Furniture_Icon.png
bugs,e455da63f0ee3ca6,tank,https://dodo.ac/np/images/a/ac/Rainbow_Stag_NH_Furniture_Icon.png
bugs,ea88249ae55f67c0,tank,https://dodo.ac/np/images/c/c7/Diving_Beetle_NH_Furniture_Icon.png
